regime,display_model,test_macro_f1_mean,test_macro_f1_std,trainable_params,total_params
GAN LWCA,LWCA full,0.8653464038416726,0.1606523338579532,951341,951341
GAN LWCA,LWCA partial,0.8574432972916668,0.1458677683256692,449892,951341
GAN LWCA,LWCA scratch,0.8478556745278757,0.16548209576064632,951341,951341
No-GAN comparison,ECG-FM,0.8333596470887075,0.022941046275169002,90886148,90886148
No-GAN LWCA,LWCA partial,0.7888738457275608,0.08398718503736612,449892,951341
No-GAN LWCA,LWCA full,0.7795330844495378,0.1588783620455755,951341,951341
No-GAN comparison,TL CNN-LSTM,0.7158235019202961,0.13952953773909846,117700,117700
No-GAN comparison,TL LSTM,0.6785581371610784,0.150518625158547,345412,345412
No-GAN comparison,TL GRU,0.6661157763055296,0.1517372896062403,261188,261188
No-GAN comparison,HuBERT-ECG,0.6524219113776956,0.08514815754446706,93126788,93126788
No-GAN LWCA,LWCA frozen,0.6022222222222222,0.0,516,951341
No-GAN comparison,TL CNN1D,0.5724189199437356,0.021895897760064294,10260,10260
GAN LWCA,LWCA frozen,0.432061191626409,0.0170415949021672,516,951341
No-GAN LWCA,LWCA scratch,0.13559627497562834,0.04702703792455333,951341,951341
