normalized_sub_label,main_group,main_label_vector,territory_vector,ptb_xl_patient_count,ptb_diagnostic_patient_count
anterior,Anterior,"[0, 1, 0, 0]","[1, 0, 0]",221,21
anterior antero-septal,Anterior,"[0, 1, 0, 0]","[1, 0, 0]",9,1
antero-septal,Anterior,"[0, 1, 0, 0]","[1, 0, 0]",1248,20
antero-septal anterior,Anterior,"[0, 1, 0, 0]","[1, 0, 0]",0,2
posterior antero-septal,Anterior,"[0, 1, 0, 0]","[1, 0, 0]",1,0
anterior inferior,Anterior+Inferior,"[0, 1, 1, 0]","[1, 1, 0]",43,3
antero-septal inferior,Anterior+Inferior,"[0, 1, 1, 0]","[1, 1, 0]",261,4
antero-septal infero-posterior,Anterior+Inferior,"[0, 1, 1, 0]","[1, 1, 0]",0,1
inferior anterior,Anterior+Inferior,"[0, 1, 1, 0]","[1, 1, 0]",49,1
inferior antero-septal,Anterior+Inferior,"[0, 1, 1, 0]","[1, 1, 0]",297,0
infero-posterior anterior,Anterior+Inferior,"[0, 1, 1, 0]","[1, 1, 0]",2,0
infero-posterior antero-septal,Anterior+Inferior,"[0, 1, 1, 0]","[1, 1, 0]",1,0
anterior inferior lateral,Anterior+Inferior+Lateral,"[0, 1, 1, 1]","[1, 1, 1]",1,0
anterior infero-lateral,Anterior+Inferior+Lateral,"[0, 1, 1, 1]","[1, 1, 1]",4,0
antero-lateral antero-septal inferior,Anterior+Inferior+Lateral,"[0, 1, 1, 1]","[1, 1, 1]",3,0
antero-lateral inferior,Anterior+Inferior+Lateral,"[0, 1, 1, 1]","[1, 1, 1]",12,0
antero-lateral infero-posterior,Anterior+Inferior+Lateral,"[0, 1, 1, 1]","[1, 1, 1]",1,0
antero-septal antero-lateral inferior,Anterior+Inferior+Lateral,"[0, 1, 1, 1]","[1, 1, 1]",14,0
antero-septal inferior antero-lateral,Anterior+Inferior+Lateral,"[0, 1, 1, 1]","[1, 1, 1]",4,0
antero-septal inferior lateral,Anterior+Inferior+Lateral,"[0, 1, 1, 1]","[1, 1, 1]",1,0
antero-septal infero-lateral,Anterior+Inferior+Lateral,"[0, 1, 1, 1]","[1, 1, 1]",83,0
antero-septal infero-postero-lateral,Anterior+Inferior+Lateral,"[0, 1, 1, 1]","[1, 1, 1]",1,0
antero-septal lateral inferior,Anterior+Inferior+Lateral,"[0, 1, 1, 1]","[1, 1, 1]",1,0
inferior antero-lateral,Anterior+Inferior+Lateral,"[0, 1, 1, 1]","[1, 1, 1]",24,0
inferior antero-septal antero-lateral,Anterior+Inferior+Lateral,"[0, 1, 1, 1]","[1, 1, 1]",11,0
inferior lateral antero-septal,Anterior+Inferior+Lateral,"[0, 1, 1, 1]","[1, 1, 1]",1,0
infero-lateral anterior,Anterior+Inferior+Lateral,"[0, 1, 1, 1]","[1, 1, 1]",6,2
infero-lateral anterior anterior,Anterior+Inferior+Lateral,"[0, 1, 1, 1]","[1, 1, 1]",0,1
infero-lateral antero-septal,Anterior+Inferior+Lateral,"[0, 1, 1, 1]","[1, 1, 1]",92,0
infero-lateral antero-septal antero-lateral,Anterior+Inferior+Lateral,"[0, 1, 1, 1]","[1, 1, 1]",2,0
infero-postero-lateral anterior,Anterior+Inferior+Lateral,"[0, 1, 1, 1]","[1, 1, 1]",1,0
infero-postero-lateral antero-lateral,Anterior+Inferior+Lateral,"[0, 1, 1, 1]","[1, 1, 1]",1,0
infero-postero-lateral antero-septal,Anterior+Inferior+Lateral,"[0, 1, 1, 1]","[1, 1, 1]",2,0
