sub_label,patient_count
normal,52
inferior,33
anterior,21
antero-septal,20
infero-lateral,18
antero-lateral,17
infero-postero-lateral,8
antero-septal+inferior,4
infero-posterior,3
anterior inferior,2
postero-lateral,2
antero-septal+anterior,2
infero-lateral+anterior,2
antero-septal+infero-posterior,1
antero-septo-lateral+anterior,1
antero-lateral+anterior,1
anterior+antero-septal,1
anterior+inferior,1
antero-septal+antero-lateral,1
inferior+anterior,1
infero-lateral+inferior,1
infero-lateral+anterior anterior,1
inferior+infero-lateral,1
infero-latera,1
infero-posterior inferior,1
infero-poster-lateral,1
infero-lateral+postero-lateral,1
lateral,1
