sub_label,patient_count
normal,8902
inferior,1722
antero-septal,1248
inferior+antero-septal,297
antero-septal+inferior,261
infero-lateral,256
anterior,221
antero-septal+antero-lateral,146
antero-lateral,116
lateral,99
infero-lateral+antero-septal,92
antero-septal+infero-lateral,83
antero-septal+lateral,69
antero-lateral+antero-septal,55
inferior+anterior,49
infero-postero-lateral,45
anterior+inferior,43
inferior+antero-lateral,24
infero-posterior,23
lateral+antero-septal,21
antero-septal+antero-lateral+inferior,14
antero-lateral+inferior,12
inferior+antero-septal+antero-lateral,11
anterior+antero-septal,9
anterior+antero-lateral,6
infero-lateral+anterior,6
antero-septal+inferior+antero-lateral,4
anterior+infero-lateral,4
lateral+anterior,3
antero-lateral+antero-septal+inferior,3
inferior+posterior,2
infero-postero-lateral+antero-septal,2
infero-posterior+anterior,2
infero-lateral+antero-septal+antero-lateral,2
anterior+lateral,2
anterior+inferior+lateral,1
anterior+antero-septal+antero-lateral,1
antero-lateral+posterior,1
antero-septal+infero-postero-lateral,1
antero-septal+inferior+lateral,1
antero-lateral+infero-posterior,1
antero-septal+lateral+inferior,1
inferior+lateral+antero-septal,1
inferior+lateral,1
infero-postero-lateral+antero-lateral,1
infero-postero-lateral+anterior,1
lateral+anterior+infero-lateral,1
infero-posterior+antero-septal,1
lateral+inferior,1
lateral+antero-septal+antero-lateral,1
lateral+infero-posterior,1
posterior+antero-septal,1
posterior+inferior,1
posterior+lateral,1
