model,setting,test_macro_f1,roc_path,pr_path,confusion_path,training_curve_path,source_run
 ALPA-Net partial fine-tune,partial_finetune,0.8900004680495108,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/partial_finetune/fold_5/metrics/test_roc_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/partial_finetune/fold_5/metrics/test_pr_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/partial_finetune/fold_5/metrics/test_confusion_matrix.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/partial_finetune/fold_5/metrics/training_curve.png,outputs/3_alpanet_finetune/20260612_150432
 ALPA-Net full fine-tune,full_finetune,0.8824208658835988,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/full_finetune/fold_1/metrics/test_roc_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/full_finetune/fold_1/metrics/test_pr_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/full_finetune/fold_1/metrics/test_confusion_matrix.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/full_finetune/fold_1/metrics/training_curve.png,outputs/3_alpanet_finetune/20260612_150432
No-attention ALPA-Net full fine-tune,full_finetune,0.8644653847345996,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_051723/transfer_strategies/full_finetune/fold_5/metrics/test_roc_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_051723/transfer_strategies/full_finetune/fold_5/metrics/test_pr_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_051723/transfer_strategies/full_finetune/fold_5/metrics/test_confusion_matrix.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_051723/transfer_strategies/full_finetune/fold_5/metrics/training_curve.png,outputs/5_alpanet_finetune_no_attention/20260614_051723
No-attention ALPA-Net partial fine-tune,partial_finetune,0.8530864642802777,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_051723/transfer_strategies/partial_finetune/fold_3/metrics/test_roc_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_051723/transfer_strategies/partial_finetune/fold_3/metrics/test_pr_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_051723/transfer_strategies/partial_finetune/fold_3/metrics/test_confusion_matrix.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_051723/transfer_strategies/partial_finetune/fold_3/metrics/training_curve.png,outputs/5_alpanet_finetune_no_attention/20260614_051723
LSTM,fine-tune,0.8442645043701406,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/lstm/metrics/test_roc_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/lstm/metrics/test_pr_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/lstm/metrics/test_confusion_matrix.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/7_model_finetune_comparison/20260613_184052/lstm/metrics/training_curve.png,outputs/7_model_finetune_comparison/20260613_184052
No-attention ALPA-Net scratch,no_pretrain,0.7599877859937735,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_051723/transfer_strategies/no_pretrain/fold_4/metrics/test_roc_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_051723/transfer_strategies/no_pretrain/fold_4/metrics/test_pr_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_051723/transfer_strategies/no_pretrain/fold_4/metrics/test_confusion_matrix.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260614_051723/transfer_strategies/no_pretrain/fold_4/metrics/training_curve.png,outputs/5_alpanet_finetune_no_attention/20260614_051723
 ALPA-Net scratch,no_pretrain,0.7397003667135083,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/no_pretrain/fold_2/metrics/test_roc_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/no_pretrain/fold_2/metrics/test_pr_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/no_pretrain/fold_2/metrics/test_confusion_matrix.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/no_pretrain/fold_2/metrics/training_curve.png,outputs/3_alpanet_finetune/20260612_150432
CNN1D,pretrain,0.7356309266972947,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260613_182711/cnn1d/metrics/test_roc_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260613_182711/cnn1d/metrics/test_pr_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260613_182711/cnn1d/metrics/test_confusion_matrix.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260613_182711/cnn1d/metrics/training_curve.png,outputs/6_model_pretrain_comparison/20260613_182711
 ALPA-Net frozen backbone,frozen_backbone,0.7299943412025283,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/frozen_backbone/fold_4/metrics/test_roc_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/frozen_backbone/fold_4/metrics/test_pr_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/frozen_backbone/fold_4/metrics/test_confusion_matrix.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/frozen_backbone/fold_4/metrics/training_curve.png,outputs/3_alpanet_finetune/20260612_150432
GRU,pretrain,0.7280243104237294,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260613_182711/gru/metrics/test_roc_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260613_182711/gru/metrics/test_pr_curve.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260613_182711/gru/metrics/test_confusion_matrix.png,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/6_model_pretrain_comparison/20260613_182711/gru/metrics/training_curve.png,outputs/6_model_pretrain_comparison/20260613_182711
