experiment_group,model,setting,test_macro_f1_mean,test_macro_f1_std,test_weighted_f1_mean,test_balanced_accuracy_mean,test_macro_auc_mean,source_run
ALPA-Net transfer CV, ALPA-Net full fine-tune,full_finetune,0.859578310772014,0.0164807702983732,0.8583253009258069,0.8588407017250571,0.9682309964188598,outputs/3_alpanet_finetune/20260612_150432
No-attention transfer CV,No-attention ALPA-Net full fine-tune,full_finetune,0.8468952209912619,0.0159778486831342,0.8565624575770695,0.8604191808283439,0.9501533824553487,outputs/5_alpanet_finetune_no_attention/20260614_051723
Baseline fine-tune comparison,LSTM,fine-tune,0.8442645043701406,,0.8576748499070576,0.8596741673580844,0.957245266386624,outputs/7_model_finetune_comparison/20260613_184052
No-attention transfer CV,No-attention ALPA-Net partial fine-tune,partial_finetune,0.84296949392659,0.007441697215472,0.8403339892286773,0.8491636263448988,0.9643695531921102,outputs/5_alpanet_finetune_no_attention/20260614_051723
Baseline pretrain comparison,CNN1D,pretrain,0.7356309266972947,,0.8788359429985457,0.7085908675195176,0.9534986294218322,outputs/6_model_pretrain_comparison/20260613_182711
ALPA-Net transfer CV, ALPA-Net partial fine-tune,partial_finetune,0.7322000954545796,0.1260492900657253,0.7504799290129661,0.725117638971245,0.960978181500715,outputs/3_alpanet_finetune/20260612_150432
Baseline pretrain comparison,GRU,pretrain,0.7280243104237294,,0.8737659042536582,0.696666647614283,0.9534538328890706,outputs/6_model_pretrain_comparison/20260613_182711
Baseline fine-tune comparison,CNN1D,fine-tune,0.7278078076924843,,0.7702759154576345,0.7146294862919753,0.948926970748478,outputs/7_model_finetune_comparison/20260613_184052
Baseline pretrain comparison,LSTM,pretrain,0.7197642222324138,,0.871229777404302,0.6955977117992311,0.9464262344412616,outputs/6_model_pretrain_comparison/20260613_182711
Baseline pretrain comparison,CNN-LSTM,pretrain,0.7155289103064801,,0.8667982132315059,0.6973267122427991,0.931617345208246,outputs/6_model_pretrain_comparison/20260613_182711
ALPA-Net transfer CV, ALPA-Net frozen backbone,frozen_backbone,0.6931658838883953,0.023775788093154,0.7190729719792919,0.6768220634096072,0.9578025017031572,outputs/3_alpanet_finetune/20260612_150432
ALPA-Net transfer CV, ALPA-Net scratch,no_pretrain,0.6889598935288312,0.0560477726322778,0.7187450890732812,0.6788893873112344,0.938777520951529,outputs/3_alpanet_finetune/20260612_150432
No-attention pretrain,ALPA-Net no attention,pretrain,0.6850506773737172,,0.8430106240309906,0.7125749302654045,0.9383443377540746,outputs/4_alpanet_pretrain_no_attention/20260614_051239
Baseline fine-tune comparison,HuBERT-ECG,fine-tune,0.6580905575503194,,0.7042780544276374,0.6532910121571731,0.8590990193936459,outputs/7_model_finetune_comparison/20260613_184052
ALPA-Net pretrain,ALPA-Net,pretrain,0.6356412492062734,,0.8090859912608018,0.7008526872955604,0.9266775305480348,outputs/2_alpanet_pretrain/20260612_120303
No-attention transfer CV,No-attention ALPA-Net scratch,no_pretrain,0.6347982588197645,0.0737955419068886,0.6760710541976274,0.6401615783643345,0.9108041346021136,outputs/5_alpanet_finetune_no_attention/20260614_051723
Baseline fine-tune comparison,GRU,fine-tune,0.6304672632447347,,0.6909901301010706,0.6539205378118136,0.9394611239636156,outputs/7_model_finetune_comparison/20260613_184052
Baseline fine-tune comparison,CNN-LSTM,fine-tune,0.6224138146616257,,0.6803069207438127,0.6489920002161674,0.9314003694039374,outputs/7_model_finetune_comparison/20260613_184052
No-attention transfer CV,No-attention ALPA-Net frozen backbone,frozen_backbone,0.5882403028001713,0.0167646011295717,0.6411813641244339,0.5869202325875371,0.9202843992272728,outputs/5_alpanet_finetune_no_attention/20260614_051723
Baseline fine-tune comparison,ECG-FM,fine-tune,0.1331403762662807,,0.1932767592346797,0.25,0.5030652339972552,outputs/7_model_finetune_comparison/20260613_184052
