strategy,fold,train_main_macro_f1,val_main_macro_f1,test_main_macro_f1,test_main_micro_f1,test_main_weighted_f1,test_accuracy,test_balanced_accuracy,test_macro_auc,test_loss,trainable_params,total_params,trainable_ratio,status,checkpoint_path,output_dir,train_f1_NORM,train_f1_AMI,train_f1_IMI,train_f1_LMI,val_f1_NORM,val_f1_AMI,val_f1_IMI,val_f1_LMI,test_f1_NORM,test_f1_AMI,test_f1_IMI,test_f1_LMI,test_sensitivity_NORM,test_sensitivity_AMI,test_sensitivity_IMI,test_sensitivity_LMI,test_specificity_NORM,test_specificity_AMI,test_specificity_IMI,test_specificity_LMI,test_auc_NORM,test_auc_AMI,test_auc_IMI,test_auc_LMI
no_pretrain,1,0.9990894507777472,0.9932066635234952,0.8746387193189721,0.8657314629258517,0.868634349393943,0.8657314629258517,0.8779515704633365,0.9756648760801157,0.4877696496832048,512933,512933,1.0,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/no_pretrain/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/no_pretrain/fold_1,0.99800796812749,1.0,0.9983498349834984,1.0,0.992,1.0,0.9966996699669968,0.984126984126984,0.9575289575289576,0.7238095238095238,0.8232044198895028,0.994011976047904,0.9185185185185184,0.7835051546391752,0.8097826086956522,1.0,1.0,0.9079601990049752,0.907936507936508,0.997596153846154,0.9991859991859992,0.94665846027594,0.9568150448585232,1.0
no_pretrain,2,0.99817951793372,0.9976275328377966,0.7574494980275124,0.7775551102204409,0.7763908282434729,0.7775551102204409,0.7390946574284587,0.9784087193963482,0.7606734720642916,512933,512933,1.0,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/no_pretrain/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/no_pretrain/fold_2,0.9960238568588468,1.0,0.996694214876033,1.0,1.0,0.9937888198757764,0.99672131147541,1.0,0.7479224376731302,0.7784431137724551,0.8530259365994236,0.6504065040650406,1.0,0.6701030927835051,0.8043478260869565,0.4819277108433735,0.75,0.9875621890547264,0.9523809523809524,1.0,0.9945461945461946,0.9581217623224084,0.961024844720497,0.9999420759962928
no_pretrain,3,0.9982915350097294,1.0,0.8856445474771448,0.8777555110220441,0.8771158588501021,0.8777555110220441,0.8839273411690489,0.9647925623108468,0.5315578689533688,512933,512933,1.0,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/no_pretrain/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/no_pretrain/fold_3,0.99800796812749,1.0,0.9991742361684558,0.9959839357429718,1.0,1.0,1.0,1.0,0.9304029304029304,0.776595744680851,0.8355795148247979,1.0,0.9407407407407408,0.7525773195876289,0.842391304347826,1.0,0.9697802197802198,0.9552238805970148,0.8984126984126984,1.0,0.9965201465201464,0.9073447197004668,0.9553053830227743,1.0
no_pretrain,4,0.9987898833586614,0.9981789015554942,0.893742245858797,0.8877755511022044,0.8897098536217438,0.8877755511022044,0.8984102628952985,0.9669687916910316,0.6724211475578602,512933,512933,1.0,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/no_pretrain/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/no_pretrain/fold_4,1.0,1.0,0.9991755976916736,0.9959839357429718,0.99601593625498,1.0,0.9966996699669968,1.0,0.9814126394052044,0.7582938388625592,0.847457627118644,0.9878048780487804,0.9777777777777776,0.8247422680412371,0.8152173913043478,0.9759036144578314,0.9945054945054944,0.9154228855721394,0.9365079365079364,1.0,0.9995522995522996,0.941632045955788,0.9266908212560389,1.0
no_pretrain,5,0.998633465300132,0.9908676100172756,0.9210501030164882,0.9178356713426854,0.9165370452839604,0.9178356713426854,0.9086640063416171,0.984130871612976,0.3374405902397925,512933,512933,1.0,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/no_pretrain/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/no_pretrain/fold_5,0.997002997002997,1.0,0.9975308641975308,1.0,0.979757085020243,1.0,0.98371335504886,1.0,0.9477611940298508,0.8402366863905325,0.8962025316455696,1.0,0.9407407407407408,0.7319587628865979,0.9619565217391304,1.0,0.9835164835164836,0.9975124378109452,0.8920634920634921,1.0,0.9978021978021978,0.9561470995537776,0.9825741890959282,1.0
frozen_backbone,1,0.9428891422366534,0.9717387304583384,0.6617574085481901,0.7414829659318637,0.7084442790518339,0.7414829659318637,0.6713330587152634,0.961633440903673,0.5993491585603458,33924,512933,0.0661372927848276,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/frozen_backbone/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/frozen_backbone/fold_1,0.9286412512218964,0.9491525423728814,0.9216512215669757,0.9721115537848606,0.9635627530364372,0.9685534591194968,0.9548387096774194,1.0,0.7416413373860182,0.7821229050279329,0.8346055979643766,0.2886597938144329,0.9037037037037036,0.7216494845360825,0.8913043478260869,0.1686746987951807,0.8021978021978022,0.9701492537313432,0.8571428571428571,1.0,0.9505291005291006,0.9732266502538852,0.9230676328502416,0.9997103799814644
frozen_backbone,2,0.9329886550974804,0.9392389780968056,0.7681517989809395,0.7855711422845691,0.7815796959835402,0.7855711422845691,0.752913020426744,0.963496480313156,0.5196845365430645,33924,512933,0.0661372927848276,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/frozen_backbone/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/frozen_backbone/fold_2,0.9191321499013808,0.937888198757764,0.9237147595356552,0.951219512195122,0.9090909090909092,0.95,0.9137380191693292,0.984126984126984,0.8052805280528053,0.7340425531914894,0.8201058201058201,0.7131782945736435,0.9037037037037036,0.711340206185567,0.842391304347826,0.5542168674698795,0.8736263736263736,0.945273631840796,0.8761904761904762,1.0,0.9603988603988604,0.9711750525721906,0.9224120082815734,1.0
frozen_backbone,3,0.9439259130574644,0.9469019040057292,0.6925632683353742,0.7535070140280561,0.7293937236337926,0.7535070140280561,0.6883606078779984,0.9629727802443756,0.574915307079384,33924,512933,0.0661372927848276,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/frozen_backbone/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/frozen_backbone/fold_3,0.9317507418397626,0.9546165884194052,0.9243557772236076,0.9649805447470816,0.9344262295081968,0.9506172839506172,0.935897435897436,0.9666666666666668,0.7579617834394905,0.7796610169491526,0.8287841191066998,0.4038461538461538,0.8814814814814815,0.711340206185567,0.907608695652174,0.253012048192771,0.8351648351648352,0.972636815920398,0.834920634920635,1.0,0.951098901098901,0.9737908396163512,0.92700138026225,1.0
frozen_backbone,4,0.9433923052389934,0.9309452512419762,0.6954931861685983,0.7454909819639278,0.7249734578536515,0.7454909819639278,0.6905839754255829,0.9613508714606468,0.5664287463935439,33924,512933,0.0661372927848276,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/frozen_backbone/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/frozen_backbone/fold_4,0.9333333333333332,0.946875,0.9289340101522844,0.9644268774703556,0.9306122448979592,0.8987341772151899,0.910828025477707,0.9836065573770492,0.8026315789473685,0.7526881720430108,0.7780548628428927,0.4485981308411215,0.9037037037037036,0.7216494845360825,0.8478260869565217,0.2891566265060241,0.8708791208791209,0.9527363184079602,0.8063492063492064,1.0,0.9626984126984128,0.9717905318766992,0.9110593512767424,0.9998551899907322
frozen_backbone,5,0.9596395130886166,0.9505862427452324,0.7278531532407702,0.7675350701402806,0.7531965757152058,0.7675350701402806,0.7144634304437232,0.9641095448421576,0.5323291486633087,33924,512933,0.0661372927848276,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/frozen_backbone/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/frozen_backbone/fold_5,0.9390962671905696,0.9654088050314464,0.9420529801324504,0.992,0.9477911646586346,0.922077922077922,0.932475884244373,1.0,0.7792207792207793,0.7821229050279329,0.8190954773869347,0.5309734513274337,0.8888888888888888,0.7216494845360825,0.8858695652173914,0.3614457831325301,0.8543956043956044,0.9701492537313432,0.8380952380952381,1.0,0.9602564102564102,0.975150023080474,0.921031746031746,1.0
partial_finetune,1,0.9956260593457672,0.990894507777471,0.8308787709445604,0.8256513026052105,0.8264185008542143,0.8256513026052105,0.8100496962700146,0.9775484879981412,0.4892911385438724,448773,512933,0.8749154372988285,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/partial_finetune/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/partial_finetune/fold_1,0.9930348258706468,0.9969135802469136,0.9925558312655088,1.0,0.9800796812749004,1.0,0.9834983498349836,1.0,0.901818181818182,0.7613636363636364,0.7819548872180451,0.8783783783783784,0.9185185185185184,0.6907216494845361,0.8478260869565217,0.7831325301204819,0.956043956043956,0.9701492537313432,0.8126984126984127,1.0,0.9911680911680912,0.976278401805406,0.9428053830227744,0.9999420759962928
partial_finetune,2,0.9975855925243972,0.985613143835714,0.9084752528228376,0.9078156312625252,0.9068883397216224,0.9078156312625252,0.89354673662527,0.989044103653798,0.3112235191112052,448773,512933,0.8749154372988285,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/partial_finetune/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/partial_finetune/fold_2,0.996007984031936,0.9984496124031008,0.9958847736625516,1.0,0.983739837398374,0.9813664596273292,0.9773462783171522,1.0,0.946236559139785,0.8488372093023255,0.8894601542416453,0.9493670886075948,0.9777777777777776,0.7525773195876289,0.9402173913043478,0.9036144578313252,0.967032967032967,0.9950248756218906,0.8984126984126984,1.0,0.996947496947497,0.9819459404010872,0.977311939268461,0.9999710379981464
partial_finetune,3,0.995418629384396,1.0,0.9009856408339462,0.8957915831663327,0.8951984629157005,0.8957915831663327,0.8980426649573542,0.9855623730581082,0.3289057231678036,448773,512933,0.8749154372988285,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/partial_finetune/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/partial_finetune/fold_3,0.993006993006993,0.9984544049459042,0.9942291838417148,0.9959839357429718,1.0,1.0,1.0,1.0,0.9390681003584228,0.8191489361702128,0.8641304347826086,0.98159509202454,0.9703703703703704,0.7938144329896907,0.8641304347826086,0.963855421686747,0.9642857142857144,0.965174129353234,0.9206349206349206,1.0,0.9953601953601954,0.9864338103297944,0.9604554865424432,1.0
partial_finetune,4,0.9994066417839028,1.0,0.8855627398239365,0.8777555110220441,0.87643495165378,0.8777555110220441,0.8820416770923527,0.9717729255666948,0.5850312543999336,448773,512933,0.8749154372988285,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/partial_finetune/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/partial_finetune/fold_4,1.0,0.9984496124031008,0.9991769547325104,1.0,1.0,1.0,1.0,1.0,0.9148936170212766,0.7955801104972375,0.8378378378378378,0.993939393939394,0.9555555555555556,0.7422680412371134,0.842391304347826,0.9879518072289156,0.9505494505494504,0.9701492537313432,0.9015873015873016,1.0,0.9871794871794872,0.9483766733343592,0.951535541752933,1.0
partial_finetune,5,0.9962198133599296,0.986688850348556,0.8688221238277101,0.8597194388777555,0.8586038926719722,0.8597194388777555,0.8630831508713274,0.9768147578246288,0.4641410106109951,448773,512933,0.8749154372988285,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/partial_finetune/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/partial_finetune/fold_5,0.992992992992993,0.9984544049459042,0.993431855500821,1.0,0.9763779527559056,0.9937888198757764,0.9765886287625418,1.0,0.8943661971830986,0.7821229050279329,0.8172043010752689,0.98159509202454,0.9407407407407408,0.7216494845360825,0.8260869565217391,0.963855421686747,0.9395604395604396,0.9701492537313432,0.8857142857142857,1.0,0.9845746845746846,0.9730984253987792,0.9495859213250516,1.0
full_finetune,1,1.0,1.0,0.8236127928162891,0.8416833667334669,0.8372553370817108,0.8416833667334669,0.8056328931443688,0.987743095966602,0.4144136861474337,512933,512933,1.0,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/full_finetune/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/full_finetune/fold_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8775510204081632,0.7457627118644068,0.8740359897172236,0.7971014492753623,0.9555555555555556,0.6804123711340206,0.9239130434782608,0.6626506024096386,0.9175824175824177,0.965174129353234,0.8888888888888888,1.0,0.992002442002442,0.97853515925527,0.9804347826086957,1.0
full_finetune,2,0.9987467316924727,0.9981763118045954,0.9181050759128296,0.9158316633266532,0.915877474660114,0.9158316633266532,0.9217250195062836,0.987520403285705,0.3314768498836231,512933,512933,1.0,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/full_finetune/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/full_finetune/fold_2,0.9990029910269193,1.0,1.0,0.9959839357429718,0.9959839357429718,1.0,0.99672131147541,1.0,0.9745454545454544,0.8040201005025126,0.8938547486033519,1.0,0.9925925925925926,0.8247422680412371,0.8695652173913043,1.0,0.9835164835164836,0.945273631840796,0.9555555555555556,1.0,0.9996743996743996,0.9781504846899524,0.972256728778468,1.0
full_finetune,3,0.9989518077390804,0.9963498840396374,0.8864034363363147,0.8857715430861723,0.8855688670873987,0.8857715430861723,0.8810953610747587,0.9821079862510402,0.4482038302537434,512933,512933,1.0,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/full_finetune/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/full_finetune/fold_3,0.9990029910269193,0.9984544049459042,0.9983498349834984,1.0,0.9919354838709676,1.0,0.9934640522875816,1.0,0.9442379182156134,0.776595744680851,0.8677248677248677,0.9570552147239264,0.9407407407407408,0.7525773195876289,0.8913043478260869,0.9397590361445785,0.9807692307692308,0.9552238805970148,0.9047619047619048,0.9951923076923076,0.9942816442816442,0.9704826383546188,0.9640441683919944,0.9996234939759036
full_finetune,4,1.0,1.0,0.8374465827594211,0.845691382765531,0.8438733283414203,0.845691382765531,0.8253769660543664,0.9806359756268008,0.5093908409078518,512933,512933,1.0,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/full_finetune/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/full_finetune/fold_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.87248322147651,0.7333333333333333,0.8655913978494624,0.8783783783783784,0.9629629629629628,0.6804123711340206,0.875,0.7831325301204819,0.9093406593406592,0.9577114427860696,0.9142857142857144,1.0,0.9862840862840864,0.9689695850643688,0.9677536231884056,0.9995366079703428
full_finetune,5,1.0,0.9981789015554942,0.9073628276530674,0.905811623246493,0.905142026315666,0.905811623246493,0.9005118324285738,0.991835597433574,0.3665330939719039,512933,512933,1.0,OK,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/full_finetune/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/5_alpanet_finetune_no_attention/20260611_203227/transfer_strategies/full_finetune/fold_5,1.0,1.0,1.0,1.0,0.99601593625498,1.0,0.9966996699669968,1.0,0.9694656488549618,0.7845303867403315,0.8814432989690721,0.994011976047904,0.9407407407407408,0.7319587628865979,0.9293478260869564,1.0,1.0,0.9676616915422884,0.8952380952380953,0.997596153846154,0.9964387464387464,0.9847925321844386,0.986111111111111,1.0
