fold,strategy,status,error,val_macro_f1,test_macro_f1,test_loss,test_micro_f1,test_weighted_f1,test_auroc_macro,test_auprc_macro,test_hamming_loss,test_subset_accuracy,test_precision_Normal,test_recall_Normal,test_f1_Normal,test_auroc_Normal,test_auprc_Normal,test_precision_Anterior,test_recall_Anterior,test_f1_Anterior,test_auroc_Anterior,test_auprc_Anterior,test_precision_Inferior,test_recall_Inferior,test_f1_Inferior,test_auroc_Inferior,test_auprc_Inferior,test_precision_Lateral,test_recall_Lateral,test_f1_Lateral,test_auroc_Lateral,test_auprc_Lateral,total_params,trainable_params,frozen_params,trainable_pct
1,no_pretrain,OK,,0.708853000732822,0.7790764622948569,0.8014128348800573,0.7786259541984732,0.7884091293118776,0.9180206656455994,0.9001162052154541,0.16292134831460675,0.4943820224719101,1.0,0.6875,0.8148148148148148,0.9845890402793884,0.9540625214576721,0.8536585365853658,0.9210526315789473,0.8860759493670886,0.9757481813430786,0.9729084372520447,0.8780487804878049,0.8571428571428571,0.8674698795180723,0.9447821974754333,0.9418419003486633,0.47619047619047616,0.6451612903225806,0.547945205479452,0.7669633030891418,0.7316519021987915,562600,562600,0,100.0
1,frozen_backbone,OK,,0.8055395842547546,0.8273976748952558,0.7217926804939013,0.8014705882352942,0.8215606394768036,0.9251013994216919,0.8980086445808411,0.15168539325842698,0.5056179775280899,0.8888888888888888,1.0,0.9411764705882353,1.0,1.0,0.96875,0.8157894736842105,0.8857142857142857,0.9896801114082336,0.9857616424560547,0.9,0.8571428571428571,0.8780487804878049,0.9665653705596924,0.9666768312454224,0.4727272727272727,0.8387096774193549,0.6046511627906976,0.7441601753234863,0.6395962238311768,562600,101000,461600,17.95236402417348
1,partial_finetune,OK,,0.7659090909090909,0.8206109505552772,0.7290790744042128,0.7862068965517242,0.8193327397212635,0.9309442043304443,0.9090729355812073,0.17415730337078653,0.43820224719101125,0.8421052631578947,1.0,0.9142857142857143,1.0,1.0,0.967741935483871,0.7894736842105263,0.8695652173913043,0.9876161217689514,0.984004020690918,0.925,0.8809523809523809,0.9024390243902439,0.9680851101875305,0.9669051766395569,0.4246575342465753,1.0,0.5961538461538461,0.7680756449699402,0.6853826642036438,562600,498440,64160,88.59580519018841
1,full_finetune,OK,,0.7736249445643004,0.8523165037209981,0.6339688264252095,0.8368794326241135,0.8524456787130413,0.957371711730957,0.9423162937164307,0.12921348314606743,0.550561797752809,0.8421052631578947,1.0,0.9142857142857143,1.0,1.0,1.0,0.8421052631578947,0.9142857142857143,0.9809081554412842,0.9806626439094543,0.851063829787234,0.9523809523809523,0.898876404494382,0.978723406791687,0.9819071888923645,0.5263157894736842,0.967741935483871,0.6818181818181818,0.8698554039001465,0.8066955804824829,562600,562600,0,100.0
2,no_pretrain,OK,,0.7979598025490725,0.7464973694115491,1.0973366934261966,0.7509578544061303,0.7542922355946476,0.8791904449462891,0.8203235268592834,0.18258426966292135,0.47191011235955055,0.8461538461538461,0.6875,0.7586206896551724,0.9426369667053223,0.8518013954162598,0.8292682926829268,0.8947368421052632,0.8607594936708861,0.9582043290138245,0.9626127481460571,0.7333333333333333,0.868421052631579,0.7951807228915663,0.9112486839294434,0.9004058837890625,0.5128205128205128,0.6451612903225806,0.5714285714285714,0.7046718597412109,0.5664742588996887,562600,562600,0,100.0
2,frozen_backbone,OK,,0.7766996652772515,0.7259680417372159,0.9861574769020081,0.7252747252747253,0.7337364338898136,0.8901672959327698,0.8333980441093445,0.21067415730337077,0.449438202247191,0.6,0.9375,0.7317073170731707,0.9631849527359009,0.846428394317627,0.7333333333333333,0.868421052631579,0.7951807228915663,0.9272446036338806,0.9412955641746521,0.8529411764705882,0.7631578947368421,0.8055555555555556,0.942208468914032,0.9304347634315491,0.4782608695652174,0.7096774193548387,0.5714285714285714,0.7280311584472656,0.6154335141181946,562600,101000,461600,17.95236402417348
2,partial_finetune,OK,,0.8600921658986176,0.7882103734188706,1.0708158491702562,0.7937743190661478,0.7924068396406291,0.9086726903915405,0.8661481738090515,0.14887640449438203,0.6067415730337079,0.7368421052631579,0.875,0.8,0.9392123222351074,0.8325296640396118,0.825,0.868421052631579,0.8461538461538461,0.9391124844551086,0.946556806564331,0.7727272727272727,0.8947368421052632,0.8292682926829268,0.9432404637336731,0.9369884133338928,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.8131256699562073,0.7485176920890808,562600,498440,64160,88.59580519018841
2,full_finetune,OK,,0.8455289808230985,0.7517623974941049,1.260649257161644,0.7686274509803922,0.7656828904895532,0.8995555639266968,0.8388789892196655,0.16573033707865167,0.5617977528089888,0.65,0.8125,0.7222222222222222,0.9511986374855042,0.8374325037002563,0.7954545454545454,0.9210526315789473,0.8536585365853658,0.9411764740943909,0.9525291323661804,0.8205128205128205,0.8421052631578947,0.8311688311688312,0.9277606010437012,0.920515239238739,0.6206896551724138,0.5806451612903226,0.6,0.77808678150177,0.6450390815734863,562600,562600,0,100.0
3,no_pretrain,OK,,0.772590070510963,0.8293825075075075,0.8609712217630965,0.813953488372093,0.8312633145966479,0.9270220398902893,0.8759719133377075,0.1348314606741573,0.5730337078651685,0.9375,0.9375,0.9375,0.9897260069847107,0.9732142686843872,0.9444444444444444,0.8947368421052632,0.918918918918919,0.9669762849807739,0.9709663987159729,0.7906976744186046,0.918918918918919,0.85,0.9308731555938721,0.8944473266601562,0.4782608695652174,0.8461538461538461,0.6111111111111112,0.8205128312110901,0.665259599685669,562600,562600,0,100.0
3,frozen_backbone,OK,,0.7244559456869893,0.7484472049689441,0.7701003243414204,0.776255707762557,0.7645679602201342,0.9226502180099487,0.831116795539856,0.13764044943820225,0.5842696629213483,0.75,0.9375,0.8333333333333334,0.9743150472640991,0.8777040243148804,1.0,0.8157894736842105,0.8985507246376812,0.9938080310821533,0.9922110438346863,0.8571428571428571,0.8108108108108109,0.8333333333333334,0.9495841860771179,0.9447457790374756,0.5625,0.34615384615384615,0.42857142857142855,0.7728937864303589,0.5098063945770264,562600,101000,461600,17.95236402417348
3,partial_finetune,OK,,0.7703768782639845,0.792465578272757,0.8593885382909453,0.8031496062992126,0.8138599525224575,0.9211119413375854,0.8356465101242065,0.1404494382022472,0.5842696629213483,0.7,0.875,0.7777777777777778,0.965753436088562,0.8891130089759827,0.9024390243902439,0.9736842105263158,0.9367088607594937,0.9871001243591309,0.9850969314575195,0.8611111111111112,0.8378378378378378,0.8493150684931506,0.9428274631500244,0.928006112575531,0.5,0.7692307692307693,0.6060606060606061,0.7887668013572693,0.5403700470924377,562600,498440,64160,88.59580519018841
3,full_finetune,OK,,0.836866439453579,0.8119381736360606,0.7703569899784045,0.8290598290598291,0.8250330417429198,0.951953113079071,0.9129260182380676,0.11235955056179775,0.6292134831460674,0.9230769230769231,0.75,0.8275862068965517,0.9897260069847107,0.9631827473640442,0.8809523809523809,0.9736842105263158,0.925,0.9932920336723328,0.9920623898506165,0.8205128205128205,0.8648648648648649,0.8421052631578947,0.9475051760673523,0.9259615540504456,0.6956521739130435,0.6153846153846154,0.6530612244897959,0.877289354801178,0.7704972624778748,562600,562600,0,100.0
4,no_pretrain,OK,,0.8549395286743826,0.7171486058089434,1.1673724128958884,0.7191011235955056,0.7345255023429169,0.8581582307815552,0.76177579164505,0.21067415730337077,0.42696629213483145,0.631578947368421,0.75,0.6857142857142857,0.9272260069847107,0.6801024079322815,0.9117647058823529,0.8157894736842105,0.8611111111111112,0.9226006269454956,0.9363210797309875,0.7272727272727273,0.8648648648648649,0.7901234567901234,0.9054054021835327,0.9142769575119019,0.42857142857142855,0.7,0.5316455696202531,0.6774011254310608,0.5164027810096741,562600,562600,0,100.0
